t,left_input,right_input,6743,37580,57553,108826,motor_left,motor_right,speed_um_s,turn_rad_s,x_um,y_um
18.6,0.6168409350306969,0.09257781994733782,0.6958337670130725,0.5403298422752169,0.3304273968825642,0.2622553223117203,0.24422187335747467,0.28244157742613923,19.63992281880673,0.09172728976479495,-15.17266483501453,-137.08127716784156
18.7,0.6197251939162158,0.09298808322000976,0.6977675780295635,0.5414403663118215,0.343543398447507,0.27797509279016375,0.260587119510905,0.2975686440802299,20.39573832618724,0.08875565896637978,-15.190299937356485,-139.07394916136673
18.8,0.6227923260256985,0.09343249243952764,0.6998126922717882,0.5425927289394389,0.3563487280743161,0.29343294775722417,0.276760987926598,0.3123540642337719,21.138761251848877,0.08542338313721735,-15.191891994796606,-141.14197705516062
18.900000000000002,0.6260526066864046,0.0939120361715777,0.7019745999262633,0.5437945265952151,0.3688112583888559,0.30857793766165614,0.29267661010145457,0.32676219335762774,21.866531283017977,0.0818053998148156,-15.176817681112425,-143.2838018837797
19,0.6295154402656732,0.0944275137993435,0.7042581961195112,0.5450522159058251,0.3809019055335343,0.3233638484743655,0.3082730284669236,0.3407609973573677,22.57681661978299,0.07797112533706581,-15.14462581409316,-145.49763088162308
19.1,0.6331890377986943,0.09497951493221862,0.7066675151226146,0.5463712423640006,0.39259510350377774,0.3377494542161402,0.32349558005953294,0.3543222338735836,23.267627534394798,0.07398396915372153,-15.095033696787596,-147.78146535868518
19.2,0.6370801388624363,0.09556840103131106,0.709205500936992,0.5477561010078441,0.40386916104622494,0.35169872219827814,0.3382961771219586,0.36742162725316413,23.937227305002942,0.0699010803148933,-15.027920233345867,-150.1331291497745
19.3,0.6411937806068169,0.09619428967090274,0.7118738195840526,0.5492103540485151,0.41470649488088,0.36518095065861705,0.35263347315573546,0.3800390070496302,24.584139524928776,0.06577328134534732,-14.943316346884785,-152.55029725284112
19.400000000000002,0.6455331148155463,0.09685704177528848,0.7146727162229232,0.5507366242300873,0.42509373946621826,0.37817082516533396,0.3664729089013439,0.3921583887950362,25.207151144713123,0.061645151744861515,-14.841393243756556,-155.03052423781992
19.5,0.6500992722335986,0.09755625207918832,0.7176009182762949,0.5523365779161197,0.4350217393994678,0.39064838695301696,0.3797866388719611,0.4037679842985658,25.805310956092647,0.05755522902385124,-14.722449067057823,-157.5712720012507
19.6,0.6548912721298993,0.0982912429630005,0.7206555840547524,0.5540109081184845,0.4444854354427211,0.4025989126848665,0.3925533447979081,0.4148601363619067,26.377923547835557,0.05353629975359668,-14.586894463147473,-160.1699364611286
19.7,0.6599059741228852,0.09906106171718003,0.7238322949329283,0.5557593246642671,0.4534836588410987,0.4140127105787982,0.4047579471829583,0.42543117921372176,26.924539033520322,0.04961575687383224,-14.435237550336296,-162.82387282656555
19.8,0.6651380686421613,0.09986448119804209,0.7271250879439257,0.5575805562625203,0.4620188509507749,0.4248848421266044,0.416391229835994,0.43548123096824226,27.44493905930167,0.04581600271739576,-14.268068731695166,-165.5304191325131
19.900000000000002,0.6705801019907225,0.10070000375442857,0.7305265247177295,0.559472367264262,0.4700967262536928,0.4352147816578428,0.42744939459604203,0.4450139279627529,27.93911974141108,0.0421548800801061,-14.086045737334643,-168.28691779540623
20,0.6762225317693893,0.10156586823396443,0.7340277919885648,0.5614315903231015,0.4777258967387201,0.44500602776835213,0.43793356453672244,0.4540361130001247,28.40727226088433,0.03864611631216541,-13.889879219401791,-171.090735015704
20.1,0.6820538083903881,0.1024600598209289,0.7376188284256717,0.5634541749015302,0.48491747458302753,0.4542656812630679,0.4478492538513656,0.46255749047652633,28.849761863869407,0.03529976790038578,-13.68031915869824,-173.93927792317936
20.2,0.6880604785050547,0.1033803224158198,0.7412884722881382,0.5655352505863924,0.49168466831560376,0.46300400393732377,0.4572058215894243,0.4705902613251165,29.26710598994898,0.03212265536566128,-13.458142278535888,-176.83000942665694
20.3,0.6942273063693973,0.1043241732392882,0.7450246243494968,0.5676692034431527,0.498042385434942,0.47123397145781126,0.4660159246804376,0.4781487498904355,29.659952189700956,0.029118780503994877,-13.224140601770614,-179.7604607888111
20.400000000000002,0.7005374094421533,0.10528891932925938,0.7488144206602415,0.5698497631244202,0.5040068520139198,0.478970832027986,0.4742949834891173,0.4852490334991473,30.02905640771835,0.026289720024071928,-12.97911123283211,-182.72824199690103
20.5,0.7069724048283516,0.10627167559818687,0.7526444099916826,0.5720700981284336,0.5095952573508445,0.48623168064222266,0.4820606707192537,0.49190858382333813,30.375262109022202,0.02363499144980268,-12.723847399273382,-185.73105004097306
20.6,0.7135125635264913,0.10726938412559846,0.7565007312059009,0.5743229164533361,0.5148254293678265,0.49303505672876785,0.4893324320149351,0.4981459273227749,30.69948062410504,0.02115238873881555,-12.459130747619383,-188.7666752420073
20.7,0.7201369697922684,0.1082788343773161,0.7603692862961964,0.5766005688885554,0.519715544322946,0.49940057099777657,0.4961310442426827,0.5039803302446327,31.00267298769557,0.01883828640468015,-12.185724856190063,-191.83300579415254
20.8,0.7268236832829733,0.10929668406490665,0.7642359054124421,0.5788951523007795,0.524283872556711,0.505348565453822,0.5024782152819878,0.50943151195739,31.285833453745067,0.016687912020965357,-11.904369902879353,-194.92803069842557
20.900000000000002,0.7335499019839837,0.1103194803850884,0.7680865007992502,0.5811986104842064,0.5285485604664764,0.5108998088730341,0.5083962272692895,0.5145193888690381,31.549974787319865,0.01469558783939684,-11.61577840796599,-198.04984127119633
21,0.7402921242349166,0.11134368140724543,0.7719072072066311,0.5835028304288472,0.5325274476974574,0.5160752286233826,0.513907623662961,0.5192638498677935,31.796115364738107,0.012854942891597875,-11.320631960196806,-201.19663141059664
21.1,0.7470263084629929,0.11236567740639838,0.7756845069602758,0.585799732193655,0.536237917638206,0.5208956785375579,0.5190349392293205,0.5236845631415715,32.02526805690141,0.011159097389402373,-11.019578827688292,-204.36669679893475
21.2,0.7537280294921227,0.11338181196773424,0.7794053384820773,0.5880813509319033,0.5396967786812384,0.5253817416276259,0.5238004710777756,0.5278008133781861,32.23843082694308,0.009600821520985113,-10.71323235277805,-207.5584332104604
21.3,0.7603726305268288,0.11438840271618139,0.7830571876148577,0.5903399099855747,0.5429201733179071,0.5295535657423024,0.5282260881699999,0.5316313677068244,32.436578941043784,0.008172670888378697,-10.402170030909929,-210.77033408244097
